Answer,RT,StimulusOr,Trial_type,DistractorOr,Block
65,1.25194879993796,59,100,45,3
41,1.48869370005559,35,100,-73,3
74,0.989746600040235,79,100,-30,3
102,2.55368949996773,108,100,-62,3
69,1.79047070001252,54,100,25,3
121,1.85109730006661,112,100,-29,3
113,2.11208729993086,108,100,-47,3
44,1.45226030005142,32,100,-43,3
41,1.45706049993169,28,100,61,3
69,2.23768840008415,79,100,-30,3
160,1.7697468000697,172,100,-32,3
128,1.18262139998842,119,100,79,3
139,1.17125000001397,149,100,-74,3
72,1.16800880001392,59,100,45,3
150,1.94824840000365,148,100,30,3
113,2.02505359996576,112,100,-29,3
146,2.10228770005051,149,100,-74,3
124,2.86584760004189,120,100,65,3
57,3.24679270002525,54,100,25,3
34,1.02743449993432,10,100,-64,3
34,2.1239994999487,26,50,48,4
53,1.86413280002307,50,50,72,4
73,3.02886030008085,75,50,33,4
71,3.75379270000849,68,50,0,4
122,2.59855739993509,125,50,46,4
158,1.08243339997716,163,50,-41,4
159,1.03926540003158,174,50,0,4
40,2.7001287000021,31,50,-74,4
33,1.73660770000424,5,50,72,4
139,2.5733382999897,148,50,0,4
70,2.745831899927,64,50,0,4
26,1.95073410007171,11,50,-30,4
53,2.61879450001288,50,50,0,4
154,1.8474542000331,159,50,0,4
37,1.00438619998749,29,50,-65,4
103,1.85668409999926,105,50,0,4
35,1.557022800087,25,50,0,4
84,1.01027980004437,84,50,0,4
127,1.18267160002142,118,50,0,4
127,2.10678569995798,129,50,-49,4
106,2.90332659997512,108,50,0,4
113,1.2205743000377,105,50,-28,4
125,2.01672389998566,119,50,0,4
123,2.17302230000496,119,50,-55,4
155,1.51385829993524,174,50,0,4
61,1.43057060008869,69,50,0,4
124,1.9947330999421,116,50,0,4
26,1.09578730002977,9,50,64,4
49,1.5402947999537,31,50,29,4
137,1.14445000002161,126,50,0,4
165,1.0370826999424,174,50,-32,4
147,1.78573220001999,146,50,49,4
70,1.6925070999423,66,0,0,5
32,0.816531699965708,32,0,0,5
-28,0.997873699991032,169,0,0,5
71,1.57807879999746,74,0,0,5
121,2.07885159994476,130,0,0,5
136,1.10727439995389,144,0,0,5
31,1.14414350001607,15,0,0,5
81,3.78056770004332,81,0,0,5
154,2.552904900047,162,0,0,5
23,2.16576690005604,7,0,0,5
39,1.8662045999663,31,0,0,5
126,0.991063500056043,116,0,0,5
143,3.16301170003135,153,0,0,5
41,0.863579600001685,32,0,0,5
72,1.98868260008749,71,0,0,5
17,2.03234489995521,5,0,0,5
72,2.56544040003791,81,0,0,5
73,1.41031810001004,69,0,0,5
20,1.64698850002605,6,0,0,5
144,1.87504440010525,144,0,0,5
70,1.01603449997492,76,0,0,5
19,1.27667069993913,5,0,0,5
138,1.64873529993929,140,0,0,5
145,1.45373860001564,154,0,0,5
50,1.05023819999769,51,0,0,5
116,0.798896300024353,118,0,0,5
132,1.40305989992339,130,0,0,5
134,0.928179000038654,127,0,0,5
67,2.72476129990537,66,0,0,5
157,1.12080440006685,161,0,0,5
24,2.85353540000506,18,0,0,5
113,0.810631099971943,116,0,0,5
60,1.39219609997235,50,100,74,6
77,3.35622839990538,72,100,65,6
74,1.88873110001441,72,100,-47,6
64,0.989692799979821,69,100,-80,6
94,2.50661039992701,97,100,-79,6
153,0.982743900036439,150,100,70,6
145,2.45121909992304,171,100,-60,6
28,1.17612360010389,9,100,49,6
43,1.31638810003642,32,100,-43,6
105,1.59334119991399,107,100,27,6
104,1.66187040007208,97,100,-79,6
50,1.30690999992657,37,100,-29,6
117,2.3506905999966,108,100,-62,6
112,1.29975190002006,120,100,65,6
142,1.3601869000122,166,100,43,6
75,1.2445158000337,69,100,-80,6
108,2.21723869990092,107,100,27,6
33,0.678143900004216,33,100,77,6
85,2.25095609994605,85,100,-58,6
134,1.04679189994931,150,100,70,6
78,1.27620890003163,85,100,-58,6
127,2.08081890002359,140,100,63,6
139,2.18894509994425,140,100,63,6
126,1.00147669995204,120,100,45,6
108,1.87851710000541,108,100,-47,6
23,2.45081209996715,11,100,25,6
36,0.655213799909689,37,100,-29,6
32,1.21967440005392,35,100,-73,6
23,1.22461080003995,11,100,25,6
51,1.07718400005251,50,100,74,6
35,1.78512969997246,28,100,61,6
19,1.73408129997551,9,100,49,6
