Answer,RT,StimulusOr,Trial_type,DistractorOr,Block
166,2.3728443,156,100,-5,2
80,2.35611380002229,68,100,30,2
10,1.78682609999669,13,50,0,2
139,2.46685389999766,147,100,30,2
66,2.01823459999287,58,0,0,2
32,1.8093675999844,28,50,0,2
112,2.82425120001426,109,0,0,2
83,3.39965150001808,83,100,30,2
95,2.99071489999187,96,50,-15,2
24,2.21425009999075,44,100,-30,2
153,2.50139310001396,146,50,0,2
172,2.91656730000977,173,0,0,2
NaN,NaN,137,100,-5,2
61,2.13860380000551,53,100,30,2
173,3.37061650000396,173,0,0,2
157,3.08201280000503,139,100,15,2
142,2.37651760000153,149,0,0,2
35,2.90365490000113,33,50,0,2
172,2.71940370000084,169,0,0,2
96,3.49498679998214,95,100,-15,2
78,2.31361139999353,69,50,5,3
17,1.48087390000001,32,50,0,3
142,2.64755940000759,150,50,30,3
80,2.83949040001608,78,50,0,3
165,3.97486990000471,166,0,0,3
146,2.1901389999839,154,50,0,3
17,2.44555030000629,13,0,0,3
66,3.09985629998846,72,100,-5,3
159,2.42752279998967,159,0,0,3
166,3.02716099997633,171,100,-15,3
119,2.7386264000088,120,100,5,3
47,2.77759589999914,51,50,5,3
100,2.63263159999042,97,50,0,3
160,3.839934299991,171,50,0,3
22,2.47136060000048,26,50,-5,3
80,2.58251589999418,80,100,-5,3
70,1.74152330000652,69,0,0,3
111,1.52496539999265,129,100,-30,3
24,2.19611409999197,50,0,0,3
39,2.61145679999026,58,0,0,3
132,2.31484020000789,132,100,-30,3
135,1.65852669999003,138,0,0,3
19,2.12899570001173,33,100,30,3
78,2.77645999999368,77,0,0,3
21,1.55165079998551,36,100,5,3
84,2.03902150000795,84,50,0,3
173,1.81373649998568,169,100,-30,3
156,2.01325390001875,137,0,0,3
56,2.01295569998911,53,100,-15,3
94,1.64416920000804,97,50,0,3
87,1.73967439998523,85,50,0,3
102,2.29835589998402,97,0,0,3
149,2.79333010001574,139,50,0,3
157,2.73710700002266,144,50,-30,3
58,2.40027349998127,55,50,-5,3
73,2.55996040001628,76,50,-30,3
23,2.2785916000139,25,50,0,3
67,3.29363030000241,72,100,-5,3
67,3.02888820000226,69,50,0,3
157,1.98857940000016,149,50,0,3
25,2.8042279999936,36,100,-15,3
151,3.26703770001768,145,0,0,3
38,1.07401789998403,44,0,0,3
28,1.121695800015,31,100,-5,3
22,2.66456919998745,28,0,0,3
65,2.8718900999811,47,50,30,3
152,2.81524670001818,124,100,30,3
26,1.83836029999657,32,50,-15,3
117,3.39794209998217,122,50,-5,3
129,2.65277380001498,122,0,0,3
109,2.03646359997219,105,0,0,3
